date,time,workerId,activitySource,activitySequence,activity,locationId,shelfId,shelfTray,itemId,itemNum,activityNotes,Position_x,Position_y,temperature,humidity,calorie,heartrate,step
2016/2/17,14:03:38,1,,,,,,,,,,,,22.72,16.74,,,
2016/2/17,14:03:39,1,,,,,,,,,,,,22.72,33.44,,,
2016/2/17,14:03:40,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:41,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:42,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:43,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:44,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:45,1,,,,,,,,,,,,22.75,33.39,,,
2016/2/17,14:03:46,1,,,,,,,,,,,,22.75,33.3,,,
2016/2/17,14:03:47,1,,,,,,,,,,,,22.75,33.3,,,
2016/2/17,14:03:48,1,,,,,,,,,,,,22.75,33.3,,,
2016/2/17,14:03:49,1,,,,,,,,,,,,22.78,33.3,,,
2016/2/17,14:03:50,1,,,,,,,,,,,,22.78,33.3,,,
2016/2/17,14:03:51,1,,,,,,,,,,,,22.78,33.3,,,
2016/2/17,14:03:52,1,,,,,,,,,,,,22.78,33.3,,,
2016/2/17,14:03:53,1,,,,,,,,,,,,22.78,33.3,,,
2016/2/17,14:03:54,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:03:55,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:03:56,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:03:57,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:03:58,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:03:59,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:04:00,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:04:01,1,,,,,,,,,,,,22.78,33.2,,,
2016/2/17,14:04:02,1,,,,,,,,,,,,22.78,33.15,,,
2016/2/17,14:04:03,1,,,,,,,,,,,,22.78,33.1,,,
2016/2/17,14:04:04,1,,,,,,,,,,,,22.78,33.1,,,
2016/2/17,14:04:05,1,,,,,,,,,,,,22.78,33.1,,,
2016/2/17,14:04:06,1,,,,,,,,,,,,22.8,33.1,,,
2016/2/17,14:04:07,1,,,,,,,,,,,,22.81,33.1,,,
2016/2/17,14:04:08,1,,,,,,,,,,,,22.81,33.1,,,
2016/2/17,14:04:09,1,,,,,,,,,,,,22.81,33.1,,,
2016/2/17,14:05:52,1,,,,,,,,,,,,0,33,,,
2016/2/17,14:05:53,1,,,,,,,,,,,,22.81,33,,,
2016/2/17,14:05:54,1,,,,,,,,,,,,22.81,33,,,
2016/2/17,14:05:55,1,,,,,,,,,,,,22.81,33,,,
2016/2/17,14:05:56,1,,,,,,,,,,,,22.81,33,,,
2016/2/17,14:05:57,1,,,,,,,,,,,,22.83,33,,,
2016/2/17,14:05:58,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:05:59,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:05:59,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:00,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:00,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:01,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:02,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:02,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:03,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:03,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:04,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:05,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:05,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:06,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:06,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:07,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:08,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:08,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:09,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:09,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:10,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:10,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:11,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:11,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:12,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:12,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:13,1,,,,,,,,,,,,22.84,33,,,
2016/2/17,14:06:13,1,,,,,,,,,,,,,,0,0,0
2016/2/17,14:06:14,1,,,,,,,,,,,,22.84,33,,,
